source,target
cringers,paulinewes
stophoutrooknu,steltenpower
pieterwk,Caroladevree
ouwehenk,HannaBervoets
ZwaantjeV,paulinewes
SnarfxFrans,cmsNetherlands
chiene2,AlfonsWispels
chiene2,steltenpower
AljeZandt,AlfonsWispels
michelstuyts,ChrisWauman
AngeliqueWinder,steltenpower
annemarievln,cmsNetherlands
LeoNijhuis,AlfonsWispels
LetsWebShop,VitaleGroenStad
jorisdewever,JoyceHeijningen
fatimawillems19,cmsNetherlands
Ron31826444,cmsNetherlands
greef_kris,BertDeWel
tonnemaker,AlfonsWispels
HeinevdM,AlfonsWispels
BFinknottle,ChrisWauman
sering80,steltenpower
duurzamestroom,AlfonsWispels
1Juleke,ockhams
GsSchutter,GerWijnhoven
Climate_Express,ChrisWauman
ReneSalemink,AlfonsWispels
RemcoWagemakers,AlfonsWispels
Vinexfred,AlfonsWispels
sering80,AlfonsWispels
sering80,Scapeler
tinyvlx,Tonzon
Faatopreis,AlfonsWispels
doemeeco,AlfonsWispels
Lubken48,AlfonsWispels
frisian1,AlfonsWispels
MoniqueLamers1,AlfonsWispels
frisian1,Scapeler
NatasjaLuiten,AlfonsWispels
Stichtingfrom,AlfonsWispels
RobbertHijdra,TrouwGroen
HSalverda,AlfonsWispels
fschuurk,AlfonsWispels
EKO4petz,AlfonsWispels
RobHoenen,AlfonsWispels
Krid_Stems,ockhams
NVerdaasdonk,AlfonsWispels
newsextract,marcelwubbolts
gmlageveen,AlfonsWispels
Klimaatzuster,TrouwGroen
PatrickAJansen,TrouwGroen
Mrsfrederika,AlfonsWispels
kovantergouw,JoyceHeijningen
theon0563,dbis
parkstadbloeit,AlfonsWispels
GrootOostTV,Tonzon
helma_beebox,AlfonsWispels
DSteenhorst,paulinewes
roosmarijnline,AlfonsWispels
jorisdewever,AlfonsWispels
willemvdbiezen,AlfonsWispels
Fokkesnoekurk,MDVisserij
Johnerous,ockhams
DuurzaamMOED,robertvg
Gasschandaal,AlfonsWispels
BertusLustig,Tonzon
etverhagen,AlfonsWispels
AlbertPasterkam,gjvu
pvmeekeren,AlfonsWispels
Waaldijk,AlfonsWispels
heinmenting,AlfonsWispels
JennekeKoehorst,AlfonsWispels
LarsBoelen,AlfonsWispels
HerbertWensink,AlfonsWispels
hemaloart,AlfonsWispels
djvandersluijs,gjvu
OlivierW4,AlfonsWispels
Eelcodevos,AlfonsWispels
carlavandorp,AlfonsWispels
EvelineMolier,marcelwubbolts
rekenk4mer,ockhams
CrazyEarthLover,greenSandco2
sycrett,Bijan63
AHRisseeuw,Bijan63
Bijan63,Bijan63
vrdvkees,paulinewes
ellygezellie,gjvu
willem2712,MDVisserij
humaansociaal,Bijan63
1980Anke,paulinewes
VigeoEiris_Be,AlfonsWispels
shirleykulk,AhSarcasme
FleurilaEGS,AhSarcasme
AndreBrouwer,paulinewes
Gerbijl,gjvu
HalloZoey,AhSarcasme
hemaloart,Bijan63
Wilcobonekamp,meertensmit
Sebas_vd_Haar,paulinewes
lutgroenez,ockhams
Ron_de_Rover,MDVisserij
OllieBMichel,gjvu
AvanVuren,WillemFerwerda
BrantChil,ockhams
BoswachterRob,gjvu
Dukkers,MDVisserij
RobertMolhoek,gjvu
paulinewes,remcovvd
Erdeme63,Tonzon
Bernardvi,ockhams
VechtdalPartij,paulinewes
hemaloart,paulinewes
HansaGreenTour,paulinewes
DeRealist2016,ockhams
RuudvanTendris,paulinewes
aanknoeien,Tonzon
EmkeMol,followthis2015
m_wiersma,paulinewes
PvanArkelFA,meertensmit
WilmavdStroet,meertensmit
Vinnie_80,ockhams
Edvdijk,gjvu
eppobruins,MDVisserij
RemcoWagemakers,Tonzon
janwillemvangen,marcelcrok
arievandersluis,Vision23
HakvoortQuality,MDVisserij
DickKraaij,gjvu
HansVanHoof72,BertDeWel
TrouwGroen,WillemFerwerda
janwillemvangen,gjvu
inktcoellie,gjvu
susankimkes,JeanetteHamster
rensweustink,PureEnergieNL
JMiluau,Belanda
Remember_1096AD,Remember_1096AD
lestergas,Bijan63
groen4life,PureEnergieNL
groeneMarkus,ClimateNeutralG
RuudvanTendris,followthis2015
RobvanEeden,AlfonsWispels
koencarels,MathiasB9
groen4life,HenkDaalder
itewiersema,MDVisserij
regio_logisch,gcijsseldelta
Dylanioo,followthis2015
JankoLolkema,MDVisserij
Frans_Bosch,gjvu
Berrie_v_eld,AlfonsWispels
betsyduit,Bijan63
LucianusMagnus,marcelwubbolts
bergbrabant,gjvu
YolandavdZee,Tonzon
christophvde,BertDeWel
HVdVelden1,timbales
eelcoeikenaar,zonder_de_NAM
VanGreetje,EnergyParkZwan
NVerdaasdonk,WillemFerwerda
Glipto,Tonzon
g_vester,Bijan63
Johnerous,gjvu
bellser48,marcelwubbolts
visserijnieuws,MDVisserij
Edvdijk,gjvu
petervalk1,Nouscat
Confucius123,gjvu
willemwansink,Bijan63
AnBeVe,zonder_de_NAM
WaterenGroen,AlfonsWispels
BoswachterRob,gjvu
GsSchutter,gjvu
TNInstitute,zonder_de_NAM
GsSchutter,gjvu
m_wiersma,zonder_de_NAM
AldoSchelvis,zonder_de_NAM
BoswachterRob,WillemFerwerda
SPprovGroningen,zonder_de_NAM
JacomijnP,WillemFerwerda
Boost292,MDVisserij
Tighza_Taza,Bijan63
Frank_DS,Lahqbar
wzn256,gjvu
jeroen1huizinga,gjvu
Bijan63,Bijan63
Henk_Baas,gjvu
bakkermantjes,MDVisserij
Wietskevanhees,Raet_NL
edemaeco,gjvu
rekenk4mer,gjvu
Frans_Bosch,gjvu
peterpolder,HarrieMiedema
bewogenburger,HarrieMiedema
volkstribunaal,betgem_eric
Jominee,Bijan63
NVerdaasdonk,maartenhajer
O_316,zorgisleuk
fschuurk,BertDeWel
ORSkaagbaan,ORSbewoners
twoord37,MDVisserij
OllieBMichel,gjvu
RDamhof,WillemFerwerda
BonneBellaNL,DIBEBO
marjanminnesma,WillemFerwerda
CCees,WillemFerwerda
trouwschmidt,TrouwGroen
bergfrans,ORSbewoners
LMoyersoen,draaimeulen
groeneplantage,birdingbreaks
WRRDuurzaamheid,TrouwGroen
StraverFrank,TrouwGroen
StraverFrank,WillemFerwerda
JohansVisie,GideonGoudsmit
HansHelder,henknieboer
marjaduin,Raet_NL
mauritsschilt,henknieboer
hiltrudpotz,AlfonsWispels
josdings,GKooger
BedrKringUrk,MDVisserij
EMK2017,MDVisserij
Klimaatplein,DNVGL_NL
WattisDuurzaam,Vision23
NiekvLeeuwen,1hschulte
barendregtvb,AdindaLodders
kennemerwind,GKooger
DJFBel,henknieboer
DSteenhorst,GKooger
genoegvluchten,ORSbewoners
FritsWuts,AlfonsWispels
WillemFerwerda,henknieboer
Changerism,AlfonsWispels
Janlambr,LudwigBollaerts
B_Biemans,MrsGreenseat
nlontwikkeld,WillemFerwerda
henknieboer,WillemFerwerda
C_Hermus,AdindaLodders
BoudewijnC,Vision23
JorisBaecke,AdindaLodders
AJMvanBeek,NHDWaterland
volgzwijn,maartenhajer
RKDRE,TrouwGroen
LarsMoratis,TrouwGroen
heinmenting,AlfonsWispels
lustkapper,Cimyne
DuurzOndern,AlfonsWispels
thomasulmers,Cimyne
HolgerEwald1,Cimyne
3xdbe,BertDeWel
Rik_Rolleman,ORSbewoners
GKooger,NHDWaterland
JorisRombaut,AlfonsWispels
LetsWebShop,DuurzaamBV
arjanvdhoogen,BertDeWel
arjanvdhoogen,AlfonsWispels
Edvdijk,gjvu
barracudawiep,dekoran1
KBGELUID,ORSbewoners
Liesb001,socialevraagst
GsSchutter,gjvu
LuijkHans,remcodb
MannenToolbox,GroeneZaken
Stadspartij,AlfonsWispels
Gasuniek,HenkDaalder
BLIKOPENER333,dekoran1
FredvanHeukelom,gjvu
marcelcrok,remcodb
SanneHille,NPORadio1
Tracy_Snoddon,LaurierResearch
IvarKunst,AlfonsWispels
Nschotte,AlfonsWispels
ikingmaNL,AlfonsWispels
janinecooijmans,AlfonsWispels
btkrth,AlfonsWispels
marjanminnesma,AlfonsWispels
AnthonySc6,LampjeL
GorisHelena,draaimeulen
JosOlivier,marcelcrok
Klimaatzuster,BertDeWel
JosOlivier,BertDeWel
HenkNieuws,GielDeRuiter
JosOlivier,Vision23
Raaphorst,NPORadio1
laurehermans,draaimeulen
ReverseVending,DirkVercammen
inspiralcarpet,GielDeRuiter
CodeKloet,NPORadio1
cornelisdewitte,JefVries
GsSchutter,feitenjager
kla_mar,climategateNL
paulinewes,BulentIsik1121
EarthMineYours,AlfonsWispels
dvlankeren,AlfonsWispels
kristorfs,TieRoefs
BErbisim,AlfonsWispels
RolfHut,berryovervelde
pvmeekeren,AlfonsWispels
LaenenPeter1,BertDeWel
RBoute,delaatstemeter
RobKoster,socialevraagst
mrmkolkman,martijnkolkman
merijndehaas,NPORadio1
WillemPetersw,Boomfeestdag
BlueLinesT,BertDeWel
TomNijsen,BertDeWel
JoeriThijs,BertDeWel
natuurlijkDev,niekvandenbrink
markheijmans,Boerenbond
MargrietdeJager,socialevraagst
dirkkraakbra7,DirkdeJong65
QuirineEijkman,socialevraagst
krabvrouw,Scientias
r_verwey,socialevraagst
vdhek,Vision23
milieucentrum,VitaleGroenStad
Dulfera,Walrathis
kvanhaagen,VitaleGroenStad
BuijsPaul,Vision23
delissen1971,annefleurdd
roelsint,NPORadio1
RSK1992,remcodb
jennyptc,Klimaatplein
wouterverkennis,ockhams
dunderklumpken,gjvu
zorrovos,NPORadio1
henknieboer,remcodb
dunderklumpken,gjvu
dunderklumpken,gjvu
mathieufransen,remcodb
dunderklumpken,gjvu
HarmenSmid,Cementbouw
MrsGreenseat,ClimateNeutralG
3MOOostflakkee,gjvu
hemeradiana,NPORadio1
hendriks_twan,AllFixedNieuws
RThBominaar,annefleurdd
NaveStefaan,DriesseWout
riniek80,martijnkolkman
EDenissen,annefleurdd
PvVegt,gjvu
Gasuniek,adlansink
enroctoob,remcodb
DenKivo,Scientias
4PTM,annefleurdd
teejay_studio,BNR
lvw65,remcodb
NatasjaLuiten,VitaleGroenStad
Calimer0c0mplex,andreasvbeek
HerzovanderWal,BoswachterRob
addie_sl,BNR
JanPeters5219,BNR
retitwente,Scientias
SchuitemakerL,MikeTurenhout
KPiekla,NPORadio1
GvanderHoeven,Scientias
SaskiaRamakers,Forenser1
cvrooijen,startcrafting
CarlaWijn,Scientias
willaminne,Europarl_NL
davandermeer,HannaBervoets
topvrouwatwork,HannaBervoets
olino_duurzaam,GKooger
fschuurk,Reeshofwarmte
RemcoWagemakers,Belanda
RemcoWagemakers,VlakglasRecycle
DSteenhorst,GKooger
Sjoentje,Raet_NL
joosockels,urgenda
_Erwin,PdRarchitects
LeendertAcke,draaimeulen
ARCAMupdate,PdRarchitects
DrPaulien,draaimeulen
btkrth,VitaleGroenStad
StichtingKAO,BWarbroek
WarmteKoudeZH,mayaVirg
fabianroos1980,EnecoBE
MarijXXXX,HannaBervoets
volkskrant,HannaBervoets
ZLTOBorsele,RoelClement
KatrienDebal,draaimeulen
VechtdalPartij,WattisDuurzaam
VechtdalPartij,RNTMSTR
CO2Adviseurs,CO2Adviseurs
Monalisazelf,Walrathis
miasaric,timdegier
winnydijkstra,ockhams
Stimuland_nl,gcijsseldelta
nicoledebeer50,NPORadio1
estherklos,Spant_Bussum
jdegens1,AlfonsWispels
arjanvdhoogen,timbales
jdblanken,timbales
mikakyra,MoniekWulms
HilliedeKoe,NPORadio1
JorisRombaut,Drapman
EricCorton,NPORadio1
Klimaatplein,robertvg
DSteenhorst,solylady
wamelink_wieger,VitaleGroenStad
LeoVoorwinden,Klimaatplein
RixtWierda,gcijsseldelta
OpSteenbreek,VitaleGroenStad
duurzamestroom,GuillaumeGoijen
JosSluijsmans,delaatstemeter
HansBassing,Afvaladvocaat
Ladyxxl,dadaland
djeppink,CalluyWalt
FrontaalNaakt,dadaland
NWEAWind,WattisDuurzaam
GreenDealZES,delaatstemeter
AgricolSeeds,Martinvanwyk
Ladyxxl,Krapuul
sycrett,cmsNetherlands
JohnSteegh,MadoRuys
MaartenvBiezen,robertvg
DannyWijnhoud,jhmommers
O_316,climategateNL
LeeflangHans,robertvg
heertoon,NPORadio1
